Cap waktu,Nama/inisial,Nomor Induk Mahasiswa (NIM) ,Angkatan,Jenis Kelamin,  Berapa rata-rata durasi Anda menggunakan media sosial dalam sehari?  ,Seberapa sering Anda membuka media sosial dalam satu hari? ,Pada waktu kapan Anda paling sering mengakses media sosial? ,Platform media sosial apa yang paling sering Anda gunakan? ,Apakah Anda sering mengecek notifikasi media sosial saat sedang belajar/mengerjakan tugas?  ,Saya sering menunda waktu untuk mulai mengerjakan tugas kuliah.  ,Saya merasa malas jika harus mengerjakan tugas yang menurut saya sulit.  ,Saya sering terlambat mengumpulkan tugas karena manajemen waktu yang buruk.  ,"Saya sering membuat rencana belajar, tetapi gagal melaksanakannya.  ",Saya sering berhenti mengerjakan tugas di tengah jalan untuk melakukan aktivitas lain yang tidak berkaitan dengan tugas akademik. ,Saya butuh waktu lama untuk mengumpulkan niat sebelum mulai belajar.  ,Saya lebih memilih mengakses media sosial daripada mengerjakan tugas. ,"Saya sering merasa bersalah setelah menunda tugas, tetapi tetap mengulangi kebiasaan tersebut. ",Saya mengalihkan perhatian pada aktivitas hiburan digital ketika merasa bosan atau mengalami kesulitan saat mengerjakan tugas. ,Saya sering menunda mengerjakan tugas karena merasa masih memiliki banyak waktu sebelum batas pengumpulan tugas. ,Skor,Target
2026/06/27 2:51:58 AM GMT+7,rafi m,2130765111,2021,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,1,4,4.0,4,2,2,1,1,4,4,27.0,Sedang
2026/06/27 2:53:15 AM GMT+7,riyan ferdi,23307565112,2023,Laki - Laki,d. > 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),a. Instagram,c. Sering,2,2,2.0,1,1,2,2,1,4,4,21.0,Sedang
2026/06/27 2:56:49 AM GMT+7,novita tri,2230511028,2022,Perempuan,a. < 1 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),a. Instagram,d. Selalu,2,2,2.0,4,4,4,1,1,1,1,22.0,Sedang
2026/06/27 2:58:15 AM GMT+7,setiang kusuma,2030655423,2020,Perempuan,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,d. Selalu,4,2,2.0,1,1,4,4,3,4,2,27.0,Sedang
2026/06/27 2:35:01 PM GMT+7,Andi,2130511023,2021,Laki - Laki,a. < 1 jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),a. Instagram,a. Tidak Pernah,1,2,3.0,4,3,3,2,4,4,3,29.0,Sedang
2026/06/27 2:41:38 PM GMT+7,Bina,2330511024,2023,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,3,2,1.0,3,4,4,3,3,2,1,26.0,Sedang
2026/06/27 2:42:36 PM GMT+7,Amel,2230511009,2022,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),a. Tidak Pernah,3,2,2.0,3,3,2,2,3,3,4,27.0,Sedang
2026/06/27 2:59:57 PM GMT+7,Kuncung,230284344,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),a. Instagram,c. Sering,2,4,2.0,3,4,3,3,3,3,3,30.0,Sedang
2026/06/27 3:01:03 PM GMT+7,Anjas,23228323,2021,Laki - Laki,b. 1-3 jam,a. (< 5 kali),d. Tengah malam (Begadang),b. TikTok,b. Jarang,2,3,4.0,4,4,4,4,4,4,4,37.0,Tinggi
2026/06/27 3:04:23 PM GMT+7,kula,2324433,2020,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),a. Instagram,c. Sering,2,2,2.0,2,2,3,3,3,3,2,24.0,Sedang
2026/06/27 3:05:17 PM GMT+7,Akur,23974947,2023,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,4,3,2.0,2,3,4,3,2,2,3,28.0,Sedang
2026/06/27 3:08:12 PM GMT+7,Alok,2230511022,2023,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),c. Twitter (X),a. Tidak Pernah,2,4,4.0,4,4,4,4,4,3,4,37.0,Tinggi
2026/07/02 9:25:44 AM GMT+7,knshsh,2330511027,2022,Laki - Laki,b. 1-3 jam,a. (< 5 kali),d. Tengah malam (Begadang),a. Instagram,c. Sering,1,2,1.0,3,4,2,1,4,2,1,21.0,Sedang
2026/07/02 9:28:13 AM GMT+7,gugub,347629123,2022,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),d. YouTube,b. Jarang,1,3,2.0,1,2,4,3,3,4,1,24.0,Sedang
2026/07/02 9:28:46 AM GMT+7,Y,24386393,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,3,4,4.0,3,2,1,2,2,4,3,28.0,Sedang
2026/07/02 9:29:26 AM GMT+7,Z,247293630,2024,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),d. YouTube,b. Jarang,1,2,3.0,2,4,1,1,3,4,3,24.0,Sedang
2026/07/02 9:30:12 AM GMT+7,H,250829373,2025,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),b. Jarang,4,3,4.0,4,4,3,4,4,4,4,38.0,Tinggi
2026/07/02 9:30:43 AM GMT+7,T,238649273,2022,Perempuan,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,3,4.0,1,2,3,3,2,4,4,28.0,Sedang
2026/07/02 9:31:21 AM GMT+7,l,236638363,2023,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,2,4,4.0,3,2,1,1,1,1,1,20.0,Rendah
2026/07/02 9:31:51 AM GMT+7,R,23303638,2022,Laki - Laki,a. < 1 jam,a. (< 5 kali),a. Pagi hari,b. TikTok,b. Jarang,2,1,2.0,2,1,1,1,2,1,3,16.0,Rendah
2026/07/02 9:32:51 AM GMT+7,Y,23026393,2022,Perempuan,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),d. Selalu,1,4,3.0,3,2,4,4,3,2,1,27.0,Sedang
2026/07/02 9:33:34 AM GMT+7,q,2239649362,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),a. Pagi hari,a. Instagram,b. Jarang,2,3,3.0,4,1,2,2,2,3,1,23.0,Sedang
2026/07/02 9:34:15 AM GMT+7,W,52836392,2024,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),a. Tidak Pernah,3,4,2.0,4,1,3,2,3,4,1,27.0,Sedang
2026/07/02 9:35:08 AM GMT+7,Asep,397302729,2025,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),a. Instagram,a. Tidak Pernah,3,1,4.0,2,3,3,2,4,1,3,26.0,Sedang
2026/07/02 9:35:47 AM GMT+7,E,816383629,2024,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,3,3,2.0,1,4,2,3,1,3,2,24.0,Sedang
2026/07/02 9:37:15 AM GMT+7,R,257474937,2025,Laki - Laki,a. < 1 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),a. Tidak Pernah,2,3,1.0,2,4,2,1,4,1,3,23.0,Sedang
2026/07/02 9:37:52 AM GMT+7,Z,2239081628,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),a. Pagi hari,b. TikTok,b. Jarang,4,2,3.0,1,3,4,1,1,3,4,26.0,Sedang
2026/07/02 9:38:24 AM GMT+7,T,238383730,2023,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,4,4,3.0,4,2,3,4,2,4,1,31.0,Tinggi
2026/07/02 9:39:02 AM GMT+7,U,2239373027,2022,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,3,4,2.0,3,4,4,1,3,3,4,31.0,Tinggi
2026/07/02 9:39:35 AM GMT+7,I,22773927,2022,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,2,3,3.0,2,3,1,4,1,2,3,24.0,Sedang
2026/07/02 9:40:09 AM GMT+7,P,23936392,2023,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,1,3,4.0,2,2,4,2,3,4,4,29.0,Sedang
2026/07/02 9:40:51 AM GMT+7,A,249629373,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,a. Tidak Pernah,2,4,4.0,2,3,3,1,3,2,3,27.0,Sedang
2026/07/02 9:42:38 AM GMT+7,D,257927392,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,3,1,4.0,4,3,3,4,3,2,4,31.0,Tinggi
2026/07/02 9:43:14 AM GMT+7,S,23396392,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,d. Selalu,1,2,3.0,4,2,4,3,3,4,1,27.0,Sedang
2026/07/02 9:43:44 AM GMT+7,D,23836382,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),d. YouTube,d. Selalu,4,4,3.0,2,2,3,3,4,4,1,30.0,Sedang
2026/07/02 9:44:29 AM GMT+7,F,2373629,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,2,3,1.0,1,3,2,3,3,2,4,24.0,Sedang
2026/07/02 9:45:03 AM GMT+7,G,240720372,2024,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),c. Twitter (X),c. Sering,3,4,3.0,4,4,3,3,4,3,2,33.0,Tinggi
2026/07/02 9:46:36 AM GMT+7,K,223936396,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,3,3,3.0,1,4,4,3,2,4,1,28.0,Sedang
2026/07/02 9:49:05 AM GMT+7,K,2473639362,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,3,3.0,3,1,3,4,3,1,3,26.0,Sedang
2026/07/02 9:50:04 AM GMT+7,L,2487398367,2025,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),d. YouTube,a. Tidak Pernah,4,3,4.0,2,1,3,3,2,4,4,30.0,Sedang
2026/07/02 9:50:38 AM GMT+7,Z,223836393,2022,Perempuan,b. 1-3 jam,b. (5 - 10 kali),a. Pagi hari,e. WhatsApp,b. Jarang,2,1,1.0,2,1,2,1,2,1,2,15.0,Rendah
2026/07/02 9:51:12 AM GMT+7,X,2230797173,2022,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,c. Sering,3,3,2.0,3,4,3,1,3,4,2,28.0,Sedang
2026/07/02 9:51:50 AM GMT+7,X,25937393,2025,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,3,4.0,4,1,4,2,1,4,3,28.0,Sedang
2026/07/02 9:52:27 AM GMT+7,C,22836383,2022,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,3,1,4.0,3,1,2,3,3,2,4,26.0,Sedang
2026/07/02 9:53:05 AM GMT+7,Y,2635292,2023,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),d. YouTube,d. Selalu,3,3,2.0,4,3,1,4,2,2,4,28.0,Sedang
2026/07/02 9:53:38 AM GMT+7,V,38,2024,Laki - Laki,a. < 1 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),c. Twitter (X),a. Tidak Pernah,3,3,1.0,1,2,4,3,2,1,4,24.0,Sedang
2026/07/02 9:54:15 AM GMT+7,B,25,2025,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,1,2,2.0,1,3,2,4,2,1,4,22.0,Sedang
2026/07/02 9:54:59 AM GMT+7,M,258619272,2025,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),a. Pagi hari,c. Twitter (X),a. Tidak Pernah,3,4,3.0,4,4,1,3,3,1,4,30.0,Sedang
2026/07/02 9:56:16 AM GMT+7,Q,2873,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),a. Instagram,a. Tidak Pernah,3,4,1.0,3,4,1,1,4,3,3,27.0,Sedang
2026/07/02 9:56:44 AM GMT+7,W,239629262,2023,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,1,4,3.0,2,4,1,3,3,2,4,27.0,Sedang
2026/07/02 9:57:26 AM GMT+7,komar,2576282,2025,Perempuan,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),a. Instagram,c. Sering,3,1,2.0,4,2,1,4,3,1,3,24.0,Sedang
2026/07/02 9:58:09 AM GMT+7,W,23726282,2023,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,c. Sering,3,2,4.0,3,3,1,4,2,4,3,29.0,Sedang
2026/07/02 9:58:48 AM GMT+7,E,25492628,2025,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,d. Selalu,2,3,4.0,1,2,4,1,2,3,2,24.0,Sedang
2026/07/02 9:59:25 AM GMT+7,R,23,2023,Perempuan,b. 1-3 jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,d. Selalu,4,3,1.0,3,2,4,4,3,3,4,31.0,Tinggi
2026/07/02 10:00:04 AM GMT+7,T,22,2022,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,1,3,4.0,4,3,2,1,4,2,3,27.0,Sedang
2026/07/02 10:00:47 AM GMT+7,Y,23,2023,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,3,2,3.0,1,1,3,2,4,2,4,25.0,Sedang
2026/07/02 10:01:19 AM GMT+7,I,24,2024,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),c. Twitter (X),b. Jarang,4,3,2.0,3,4,2,1,4,3,1,27.0,Sedang
2026/07/02 10:01:40 AM GMT+7,Yunda Septi Wulandari ,2430311046,2024,Perempuan,d. > 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,2,1,1.0,1,3,2,1,2,2,2,17.0,Rendah
2026/07/02 10:02:00 AM GMT+7,O,22,2022,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,d. Selalu,1,3,3.0,4,3,2,4,4,3,2,29.0,Sedang
2026/07/02 10:02:28 AM GMT+7,A,25,2025,Perempuan,b. 1-3 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,1,2,1.0,2,3,1,2,2,1,2,17.0,Rendah
2026/07/02 10:03:01 AM GMT+7,G,24,2024,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),b. TikTok,c. Sering,3,4,4.0,4,4,4,4,4,4,3,38.0,Tinggi
2026/07/02 10:03:39 AM GMT+7,K,25,2025,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,3,4,3.0,2,4,4,3,3,4,4,34.0,Tinggi
2026/07/02 10:04:08 AM GMT+7,G,24,2024,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,c. Sering,3,4,3.0,3,4,2,4,3,2,4,32.0,Tinggi
2026/07/02 10:04:43 AM GMT+7,K,2348252,2023,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,2,1,2.0,2,2,3,3,2,2,2,21.0,Sedang
2026/07/02 10:05:18 AM GMT+7,U,3425,2025,Perempuan,a. < 1 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,a. Tidak Pernah,1,1,2.0,2,1,1,1,1,1,2,13.0,Rendah
2026/07/02 10:05:52 AM GMT+7,O,25753862,2025,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,3,4,3.0,3,3,3,4,3,3,3,32.0,Tinggi
2026/07/02 10:06:31 AM GMT+7,T,24,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,c. Sering,3,2,2.0,3,4,3,4,4,4,2,31.0,Tinggi
2026/07/02 10:07:06 AM GMT+7,B,2348584,2023,Perempuan,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,2,2,2.0,2,1,2,3,2,2,1,19.0,Rendah
2026/07/02 10:07:43 AM GMT+7,B,25,2025,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,1,3,3.0,2,4,2,4,3,3,3,28.0,Sedang
2026/07/02 10:08:19 AM GMT+7,X,22,2022,Laki - Laki,b. 1-3 jam,a. (< 5 kali),d. Tengah malam (Begadang),b. TikTok,b. Jarang,1,1,1.0,1,2,1,1,1,1,1,11.0,Rendah
2026/07/02 10:08:50 AM GMT+7,M,2430311007,2024,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,1,1,1.0,1,1,1,1,1,3,1,12.0,Rendah
2026/07/02 10:08:59 AM GMT+7,N,22,2022,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,b. Jarang,4,3,3.0,3,1,3,2,4,3,3,29.0,Sedang
2026/07/02 10:09:29 AM GMT+7,R,23,2023,Perempuan,b. 1-3 jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),b. Jarang,1,2,2.0,2,1,2,2,3,3,2,20.0,Rendah
2026/07/02 10:10:05 AM GMT+7,Uj,22,2022,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,3,1,4.0,4,4,4,4,4,4,4,36.0,Tinggi
2026/07/02 10:10:41 AM GMT+7,Y,23,2023,Perempuan,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,4,4,4.0,4,3,2,2,2,1,4,30.0,Sedang
2026/07/02 10:11:11 AM GMT+7,M,25,2025,Perempuan,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,d. Selalu,3,4,4.0,4,4,3,3,4,4,2,35.0,Tinggi
2026/07/02 10:11:52 AM GMT+7,Y,22,2022,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),c. Twitter (X),a. Tidak Pernah,4,2,1.0,3,4,2,3,4,1,2,26.0,Sedang
2026/07/02 10:12:52 AM GMT+7,kuncung,2637837,2022,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,3,4,4.0,2,3,3,3,3,4,3,32.0,Tinggi
2026/07/02 10:13:24 AM GMT+7,Z,25,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,2,2,2.0,3,3,1,4,4,4,4,29.0,Sedang
2026/07/02 10:14:25 AM GMT+7,239097282,23,2023,Perempuan,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,1,4,4.0,2,1,1,1,3,2,2,21.0,Sedang
2026/07/02 10:17:12 AM GMT+7,G,23,2023,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,3,1,4.0,2,4,1,3,4,3,4,29.0,Sedang
2026/07/02 10:17:40 AM GMT+7,Herna,2430311019,2024,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,2,2,1.0,1,2,3,2,3,3,2,21.0,Sedang
2026/07/02 10:19:01 AM GMT+7,T,23,2022,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),d. YouTube,a. Tidak Pernah,2,2,2.0,2,2,2,3,3,3,3,24.0,Sedang
2026/07/02 10:19:39 AM GMT+7,y,24,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),d. YouTube,c. Sering,3,3,3.0,3,3,3,3,1,2,2,26.0,Sedang
2026/07/02 10:21:11 AM GMT+7,H,24,2024,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),a. Pagi hari,b. TikTok,c. Sering,4,3,3.0,3,4,3,4,4,2,4,34.0,Tinggi
2026/07/02 10:21:44 AM GMT+7,skah,26382,2023,Perempuan,b. 1-3 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,b. Jarang,3,2,4.0,3,3,3,2,4,1,3,28.0,Sedang
2026/07/02 10:22:21 AM GMT+7,kaja,2381881,2022,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,3,3.0,4,4,3,2,4,4,3,32.0,Tinggi
2026/07/02 10:22:56 AM GMT+7,J,223,2025,Perempuan,a. < 1 jam,a. (< 5 kali),a. Pagi hari,a. Instagram,a. Tidak Pernah,1,1,2.0,1,2,1,2,1,2,1,14.0,Rendah
2026/07/02 10:23:47 AM GMT+7,V,2,2022,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,3,2,2.0,3,3,3,4,4,4,4,32.0,Tinggi
2026/07/02 10:24:18 AM GMT+7,aha,23,2023,Perempuan,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),c. Sering,3,4,4.0,4,2,4,4,2,3,3,33.0,Tinggi
2026/07/02 10:24:59 AM GMT+7,ah,24,2024,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,4,3,4.0,4,2,3,4,4,4,3,35.0,Tinggi
